sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
62,136,6,525.23,124.9,512.76,1.24
105,64,22,702.17,205.11,668.39,1.39
38,138,19,766.4,188.24,744.46,1.27
79,52,3,417.0,172.7,384.1,1.5
87,86,16,143.8,110.02,123.19,1.68
78,62,3,605.88,185.64,581.6,1.32
81,143,19,376.46,142.96,356.76,1.36
80,153,19,436.0,63.53,431.97,1.14
65,27,14,659.81,220.08,626.23,1.38
63,47,14,661.1,163.04,640.03,1.3
25,132,11,1136.62,411.93,1090.86,1.3
36,7,2,624.11,142.77,611.59,1.21
29,80,12,699.38,301.26,644.74,1.49
40,78,22,919.8,219.83,893.06,1.28
44,38,22,382.16,194.33,342.2,1.57
41,68,22,307.57,206.35,267.81,1.62
38,111,21,217.81,122.47,190.98,1.72
43,48,22,411.95,148.26,387.34,1.42
80,50,20,269.48,157.6,228.84,1.81
45,28,22,442.82,160.09,418.4,1.39
82,30,20,545.73,131.08,528.15,1.3
136,47,19,121.67,122.27,84.06,2.39
55,25,20,657.44,171.67,637.42,1.28
50,75,20,469.91,183.26,430.68,1.55
43,85,4,591.57,303.38,531.3,1.56
44,75,4,429.18,246.5,378.1,1.61
164,143,14,158.2,107.69,126.04,2.07
47,45,4,442.62,204.29,402.55,1.53
52,55,20,188.28,100.62,160.58,2.08
46,55,4,574.62,167.09,554.63,1.29
134,67,19,898.44,326.42,843.8,1.42
81,40,20,1077.63,153.67,1066.03,1.16
53,45,20,834.25,159.58,821.28,1.19
34,62,16,150.22,60.15,142.19,1.37
58,34,13,344.75,91.44,333.3,1.29
141,143,10,117.44,121.94,46.6,5.97
49,25,4,409.32,245.77,356.24,1.66
38,22,16,892.04,391.63,816.84,1.51
81,82,21,143.4,116.92,93.09,3.19
84,52,21,404.54,116.41,390.92,1.29
98,37,21,95.14,48.37,79.61,1.92
87,22,21,408.9,177.12,371.69,1.55
75,132,23,492.0,220.66,455.77,1.44
48,35,4,821.29,291.61,771.44,1.43
53,84,13,835.5,326.51,784.17,1.41
36,73,10,622.97,184.2,599.67,1.31
45,65,4,355.25,216.34,310.71,1.62
48,47,22,485.52,155.17,464.54,1.33
46,67,22,475.11,168.85,452.19,1.35
130,22,9,967.87,127.06,959.91,1.14
138,136,15,217.25,226.02,121.04,3.65
32,56,10,187.11,22.01,185.9,1.12
24,53,18,858.41,201.36,836.5,1.25
22,73,18,819.85,333.61,758.84,1.49
51,80,14,424.63,225.45,381.84,1.58
23,63,18,743.52,195.48,720.23,1.28
33,46,10,834.38,190.83,811.98,1.27
27,23,18,218.76,172.56,153.85,2.72
36,16,10,907.15,159.48,895.48,1.17
26,33,18,747.78,318.14,699.43,1.41
35,26,10,359.13,155.58,330.15,1.49
25,43,18,715.57,285.33,653.8,1.57
31,92,16,210.29,169.97,161.05,2.0
21,83,18,822.38,237.8,788.28,1.34
12,47,12,745.4,441.83,646.44,1.65
40,46,19,434.13,225.92,397.64,1.48
43,16,19,1109.38,293.42,1073.49,1.29
41,36,19,300.17,177.24,263.63,1.67
42,26,19,935.11,280.45,897.41,1.32
28,78,20,787.41,212.05,761.26,1.29
29,68,20,814.83,344.16,746.68,1.52
34,36,10,275.92,169.3,240.51,1.63
52,94,13,919.73,224.79,894.4,1.26
110,130,14,510.76,200.85,478.2,1.42
64,132,5,352.96,170.8,330.19,1.38
48,38,5,568.48,267.57,515.95,1.53
47,48,5,590.78,280.9,542.9,1.47
48,138,20,566.03,152.97,547.43,1.29
45,68,5,238.47,216.51,190.82,1.81
49,128,20,828.11,224.94,794.86,1.34
78,65,2,535.5,233.64,501.5,1.4
44,78,5,533.96,244.69,490.4,1.49
79,55,2,744.33,275.89,690.72,1.49
66,112,5,340.67,190.33,301.09,1.6
46,58,5,820.11,583.01,715.48,1.59
175,7,0,221.4,284.96,163.01,1.85
49,28,5,701.71,287.92,650.98,1.46
36,42,16,730.82,449.51,629.01,1.7
130,38,4,418.31,192.37,387.56,1.43
51,164,15,425.05,340.57,363.64,1.6
110,31,5,629.5,141.96,613.04,1.26
112,11,5,732.6,258.52,690.14,1.41
41,40,15,146.43,131.46,118.91,1.81
24,65,9,646.33,204.56,619.12,1.33
27,35,9,173.88,93.4,144.12,1.98
23,75,9,664.47,204.96,628.66,1.41
58,83,3,498.97,261.23,454.27,1.49
28,25,9,312.23,149.35,281.12,1.58
132,55,1,661.17,126.3,649.75,1.2
136,15,1,483.41,46.46,481.31,1.1
130,75,1,591.0,541.97,483.26,1.71
11,8,11,352.94,186.99,319.09,1.52
65,78,22,515.33,223.06,479.27,1.43
66,68,22,163.51,124.13,130.86,1.96
22,128,10,1002.48,301.02,966.25,1.3
138,74,23,508.6,223.84,474.97,1.41
27,105,15,1037.12,311.91,997.68,1.31
50,61,13,425.16,81.65,417.86,1.2
52,41,13,959.0,292.3,918.52,1.34
53,31,13,371.1,251.97,289.79,2.1
55,11,13,1142.38,315.85,1108.8,1.26
51,23,9,545.82,175.71,521.29,1.34
66,128,12,391.59,211.62,354.33,1.53
65,138,12,508.78,161.48,486.12,1.34
55,34,1,724.86,266.98,676.47,1.45
53,54,1,138.08,142.57,71.4,3.91
68,48,22,883.91,368.76,825.3,1.42
51,74,1,535.86,92.46,528.34,1.18
50,84,1,264.5,172.33,232.64,1.58
74,41,22,722.73,244.79,689.31,1.35
73,51,22,376.09,168.78,342.27,1.54
52,64,1,1081.9,217.32,1061.73,1.21
80,70,22,335.2,226.48,274.19,1.86
84,30,22,467.59,132.18,451.22,1.3
82,50,22,398.5,57.65,394.38,1.16
54,44,1,732.3,190.15,710.0,1.28
26,45,9,815.67,104.55,808.83,1.14
46,128,2,411.38,183.26,380.24,1.47
48,108,2,656.33,214.56,632.97,1.28
141,136,17,623.83,124.89,611.12,1.23
45,138,2,581.8,174.02,557.5,1.34
138,47,16,265.02,307.64,134.48,3.71
67,96,2,485.3,169.55,460.37,1.37
90,99,5,221.33,88.53,207.15,1.42
72,61,22,626.43,138.4,612.62,1.23
114,168,4,605.0,131.91,590.05,1.25
65,128,19,104.92,94.61,88.55,1.63
47,9,1,499.75,106.31,490.67,1.2
69,38,22,514.14,156.06,492.59,1.34
64,138,19,475.0,124.54,462.3,1.25
78,68,22,792.64,241.73,759.07,1.34
42,36,17,589.0,231.76,544.04,1.5
43,26,17,949.96,304.06,910.91,1.32
41,46,17,304.73,207.14,260.78,1.69
44,16,17,1039.16,300.05,1004.76,1.28
16,61,12,760.5,288.59,722.61,1.35
72,44,3,364.41,184.48,323.78,1.63
70,64,3,388.75,145.06,363.94,1.43
73,34,3,693.89,303.26,648.83,1.4
53,132,17,1144.48,260.76,1116.56,1.25
48,70,0,623.2,184.79,598.07,1.33
47,80,0,172.16,269.8,104.21,2.43
11,23,14,1295.71,431.37,1248.92,1.28
136,46,9,793.06,191.76,769.04,1.29
138,26,9,781.25,369.54,724.31,1.43
80,23,21,779.6,258.63,728.93,1.49
78,143,19,540.44,296.82,481.67,1.57
35,48,22,968.35,523.71,882.53,1.47
36,38,22,110.11,90.05,81.88,2.37
43,24,19,326.76,188.94,290.78,1.61
41,44,19,184.41,138.18,149.15,1.92
34,58,22,366.67,124.35,348.27,1.37
128,25,6,766.67,197.24,740.17,1.31
79,138,3,290.13,77.51,282.29,1.25
82,136,21,525.33,239.71,480.27,1.51
84,79,14,338.53,194.7,295.21,1.65
11,41,13,964.82,259.64,935.1,1.27
29,87,18,905.74,238.24,876.17,1.29
111,27,21,782.36,205.7,753.18,1.33
40,47,16,910.0,285.93,868.54,1.35
42,27,16,572.53,126.7,558.11,1.26
25,69,10,750.82,305.29,705.76,1.39
52,83,22,363.22,191.87,323.51,1.59
55,53,22,118.14,116.75,70.6,3.19
26,59,10,727.57,229.64,690.12,1.4
53,73,22,551.89,183.67,524.52,1.37
21,132,17,709.13,208.46,679.11,1.34
23,112,17,1188.8,232.41,1165.37,1.22
138,49,0,532.4,428.7,456.9,1.64
58,23,22,423.24,260.21,353.35,1.85
113,7,12,278.0,29.96,276.24,1.12
136,69,0,376.0,246.56,320.11,1.71
27,49,10,943.17,198.67,921.5,1.24
22,136,12,1109.24,294.3,1075.09,1.28
24,79,10,713.0,194.03,685.06,1.34
145,51,21,558.69,322.3,485.29,1.66
72,132,17,535.18,259.23,491.82,1.46
16,138,2,612.29,77.15,607.27,1.14
84,81,10,267.88,179.16,227.69,1.75
71,132,5,425.23,229.7,378.27,1.59
73,112,5,774.64,254.95,732.2,1.4
73,41,8,316.67,224.24,277.27,1.6
22,73,19,726.74,293.65,672.9,1.48
23,63,19,717.07,237.45,675.51,1.46
70,71,8,142.56,117.94,112.92,1.88
27,23,19,201.78,166.44,145.16,2.55
128,34,7,599.77,376.84,513.69,1.69
26,33,19,871.06,254.39,833.13,1.35
75,21,8,568.27,164.28,546.42,1.32
25,43,19,696.55,278.89,639.82,1.54
112,113,20,157.42,135.4,110.08,2.32
16,46,23,957.17,321.85,917.49,1.31
81,54,10,116.96,128.16,78.35,2.48
69,75,20,748.13,351.39,677.7,1.54
73,107,17,1259.89,336.47,1221.08,1.27
96,33,0,263.34,147.02,239.65,1.48
127,130,13,435.0,64.63,430.76,1.15
134,78,10,451.0,102.76,434.96,1.34
87,78,1,847.0,222.72,816.87,1.31
28,136,2,848.9,265.02,815.3,1.31
25,166,2,771.95,198.83,749.92,1.26
24,53,19,843.21,223.53,816.32,1.29
27,46,15,891.95,378.31,818.94,1.52
29,26,15,496.72,289.59,418.89,1.88
25,66,15,871.73,213.27,846.33,1.28
21,83,19,654.5,135.53,641.1,1.22
28,36,15,412.77,248.33,346.63,1.92
83,82,21,96.15,68.04,76.41,2.02
165,76,1,257.43,192.29,202.68,1.92
23,130,3,828.16,257.05,796.25,1.31
25,110,3,678.76,197.58,653.38,1.31
23,86,15,737.5,214.66,709.16,1.32
23,110,23,835.13,454.94,743.62,1.58
111,41,12,788.14,249.05,753.55,1.34
40,24,14,399.45,234.94,343.38,1.79
21,130,23,801.48,251.51,756.27,1.43
52,132,3,974.32,332.29,923.12,1.39
111,80,6,807.5,173.33,783.49,1.3
16,36,7,947.75,151.94,936.64,1.16
128,66,6,260.16,208.35,209.17,1.89
81,26,8,382.44,209.41,344.89,1.52
82,16,8,768.25,181.65,749.78,1.24
78,125,1,507.56,225.35,471.32,1.43
73,175,1,1100.9,132.5,1092.89,1.13
40,24,19,385.22,222.53,337.64,1.7
127,47,0,468.14,116.37,454.2,1.28
132,84,4,266.74,184.45,233.88,1.57
125,67,0,475.0,199.3,425.98,1.65
63,128,8,248.62,180.85,214.98,1.63
130,7,0,507.58,85.16,501.88,1.15
136,44,4,717.86,238.73,676.33,1.42
68,63,9,429.57,196.79,384.15,1.62
67,73,9,680.0,249.66,639.65,1.41
70,22,18,1362.67,235.03,1344.08,1.18
53,48,19,404.38,201.69,360.75,1.66
55,28,19,814.71,303.65,764.71,1.42
51,68,19,932.67,130.93,923.92,1.15
55,132,4,996.83,246.37,969.65,1.26
50,78,19,197.01,157.99,163.47,1.75
52,58,19,376.39,192.62,334.02,1.68
81,132,21,529.92,151.33,509.81,1.32
16,63,20,846.17,201.96,826.17,1.23
41,110,5,124.42,97.37,97.63,2.0
78,65,7,435.6,124.47,420.14,1.3
70,43,4,602.87,320.8,535.68,1.6
62,105,9,460.89,222.92,369.06,2.2
99,59,22,195.25,43.89,190.64,1.24
29,166,2,815.53,283.6,774.74,1.36
68,42,9,184.36,118.64,144.37,2.35
61,165,15,328.67,343.14,220.37,2.3
67,105,15,784.0,164.38,768.94,1.21
48,79,19,303.68,246.76,254.0,1.73
49,69,19,1015.22,266.94,982.25,1.29
28,141,1,1352.0,366.42,1312.63,1.26
107,87,14,177.55,126.79,126.62,2.64
51,8,0,1033.14,174.71,1020.43,1.16
87,79,23,1012.67,638.24,870.67,1.67
26,161,1,493.47,155.21,474.04,1.31
84,78,4,120.7,121.47,90.05,1.94
87,48,4,492.76,174.07,466.25,1.38
38,78,0,758.61,281.18,715.07,1.39
32,130,5,384.62,218.52,344.32,1.54
86,58,4,361.17,255.06,292.83,1.86
63,136,19,518.73,222.4,478.2,1.49
63,114,19,499.0,221.18,463.46,1.43
16,43,0,1045.29,299.09,1004.13,1.33
52,107,12,644.83,170.96,621.28,1.32
35,128,2,444.69,203.64,406.59,1.57
42,128,11,418.0,163.01,390.48,1.44
41,138,11,981.83,214.78,955.7,1.27
11,128,23,444.89,273.58,392.13,1.57
85,24,13,988.0,220.45,963.86,1.25
26,87,10,225.69,130.71,199.17,1.61
28,67,10,407.05,203.17,368.97,1.53
82,54,13,225.05,190.46,131.25,3.49
136,141,5,439.73,148.9,418.07,1.36
28,69,0,568.98,206.25,537.7,1.39
27,79,0,1059.06,354.59,1014.6,1.32
29,59,0,814.94,174.96,795.76,1.25
74,45,6,313.52,270.39,252.61,1.8
73,55,6,474.36,155.44,450.43,1.38
71,75,6,283.25,137.89,247.53,1.71
80,74,13,451.73,336.9,352.98,1.99
72,65,6,405.57,47.57,402.8,1.12
62,34,17,191.1,102.43,160.16,2.06
63,24,17,665.28,262.29,615.05,1.49
61,44,17,2182.67,2147.1,1699.43,1.81
52,84,10,530.91,253.23,479.16,1.57
58,24,10,754.09,223.89,723.68,1.33
55,54,10,262.0,80.2,250.67,1.34
40,67,8,256.63,147.56,224.41,1.64
44,27,8,622.93,306.46,566.93,1.51
71,16,14,758.85,284.28,724.13,1.33
57,136,2,691.63,73.91,687.66,1.11
55,58,17,241.0,140.0,193.48,2.13
58,28,17,899.83,403.61,828.77,1.47
53,78,17,881.38,299.35,838.5,1.36
31,103,0,451.42,283.83,393.12,1.62
45,119,1,419.13,110.9,407.01,1.26
96,32,7,236.67,232.02,172.63,2.06
36,136,16,770.5,132.91,759.64,1.18
79,46,15,754.06,224.9,720.96,1.35
28,64,0,443.32,201.14,403.38,1.58
29,54,0,518.9,269.31,476.63,1.47
55,43,5,596.11,79.4,590.8,1.14
53,63,5,851.44,197.5,830.68,1.24
52,73,5,398.27,161.36,367.23,1.5
51,83,5,233.61,139.34,211.51,1.49
25,94,0,1048.0,310.72,995.88,1.39
70,24,1,599.43,123.44,587.29,1.22
54,53,5,81.44,101.35,33.33,4.56
26,84,0,641.78,378.76,574.89,1.53
99,59,7,315.89,174.61,271.89,1.74
57,23,5,531.36,212.96,496.64,1.43
38,29,20,691.55,176.37,665.51,1.34
29,66,4,553.99,259.88,511.69,1.45
27,86,4,567.43,142.97,548.82,1.3
26,96,4,671.31,205.87,642.23,1.34
130,33,4,348.64,174.47,311.54,1.59
125,132,5,460.17,285.77,386.23,1.79
27,74,0,1081.09,199.75,1063.89,1.19
78,80,7,85.44,125.15,34.69,3.94
36,49,20,851.44,118.11,843.83,1.14
73,24,1,493.21,237.7,445.97,1.57
71,44,1,400.21,243.48,349.13,1.65
22,50,18,844.06,320.21,793.66,1.4
24,30,18,759.24,248.95,723.66,1.36
23,40,18,616.71,226.94,582.4,1.39
79,54,22,382.0,220.36,323.96,1.79
78,64,22,664.5,317.89,594.57,1.6
63,11,17,625.96,216.03,599.21,1.32
61,31,17,683.56,248.78,646.74,1.37
41,52,7,609.0,285.26,559.48,1.48
40,62,7,446.88,152.79,422.25,1.4
44,22,7,617.78,112.66,607.28,1.21
49,24,19,774.68,196.77,752.48,1.27
47,44,19,718.76,272.37,686.5,1.33
46,54,19,617.59,236.03,586.62,1.34
44,74,19,619.13,310.76,551.63,1.65
40,25,4,522.0,408.47,453.85,1.56
43,84,19,882.68,189.4,863.01,1.24
59,11,14,606.18,43.51,604.63,1.07
52,81,14,358.63,253.0,281.77,2.22
54,61,14,347.62,180.41,306.55,1.64
45,64,19,579.25,331.72,509.74,1.62
55,51,14,520.85,265.92,462.77,1.62
94,105,13,164.0,158.08,85.55,3.46
57,31,14,437.5,166.49,407.13,1.46
31,25,0,544.98,246.95,492.28,1.58
30,35,0,774.85,304.52,722.98,1.44
96,65,23,441.2,310.4,379.65,1.63
94,32,22,774.67,251.93,729.34,1.44
90,88,18,134.71,24.08,132.29,1.22
130,28,13,853.69,206.06,831.52,1.25
52,134,3,868.33,199.69,844.89,1.27
48,50,8,178.76,171.52,136.88,1.99
49,40,8,613.5,139.2,598.09,1.25
72,44,14,590.28,349.83,524.51,1.58
68,66,23,202.21,174.42,144.25,2.32
65,96,23,396.03,261.56,344.15,1.61
132,47,14,170.4,141.81,140.47,1.73
130,67,14,283.33,117.76,262.93,1.46
74,24,14,1038.88,223.38,1016.16,1.23
81,25,13,770.65,379.38,687.03,1.61
73,134,16,642.0,164.9,620.88,1.3
112,68,21,392.33,88.07,382.42,1.26
21,61,11,497.21,236.28,437.4,1.71
23,41,11,592.74,405.91,517.59,1.68
26,11,11,1233.27,390.44,1187.39,1.3
143,26,15,930.57,219.13,907.41,1.25
22,51,11,560.66,235.68,522.27,1.44
31,81,20,607.5,356.74,521.27,1.73
35,41,20,459.89,141.78,435.4,1.42
69,34,19,777.36,444.79,680.32,1.63
58,52,0,402.3,207.53,358.76,1.6
68,44,19,454.83,179.91,418.64,1.53
55,82,0,235.6,181.8,162.81,2.86
66,64,19,216.17,162.55,170.29,2.04
38,11,20,630.39,121.53,620.6,1.19
84,79,23,298.84,305.57,218.99,2.18
87,49,23,757.08,195.78,731.14,1.31
24,31,11,579.06,146.84,561.06,1.29
46,49,20,410.47,147.36,389.55,1.36
48,29,20,164.59,142.86,127.05,2.01
44,69,20,298.82,147.1,277.4,1.42
36,31,20,709.92,582.9,576.25,1.77
43,79,20,787.77,310.46,729.4,1.48
65,74,19,556.11,171.83,533.67,1.32
70,64,14,450.88,178.58,420.22,1.44
64,84,19,510.69,139.37,495.82,1.26
85,84,14,334.78,140.21,315.35,1.37
69,56,23,759.83,535.47,644.66,1.67
79,75,17,370.68,264.66,303.31,1.85
78,85,17,391.82,169.63,359.12,1.51
53,82,20,181.78,173.21,108.39,3.11
54,81,13,110.67,109.54,75.48,2.51
57,51,13,548.65,159.8,525.3,1.35
110,24,20,377.17,146.81,354.47,1.4
79,54,17,416.63,255.23,337.7,1.96
46,70,8,590.62,228.17,553.42,1.42
62,128,5,313.85,178.91,280.15,1.56
61,138,5,369.5,212.37,323.31,1.64
44,28,12,296.52,184.03,246.16,1.91
43,38,12,428.95,253.97,365.19,1.75
103,92,1,347.44,204.52,281.71,1.96
40,68,12,546.57,197.63,515.49,1.4
42,48,12,734.5,203.18,709.37,1.3
59,31,13,580.83,284.18,514.79,1.64
21,25,21,1261.33,146.52,1252.22,1.13
112,67,23,485.59,343.77,389.3,1.91
128,67,17,148.18,87.51,124.69,1.89
67,29,19,884.73,342.33,826.09,1.45
30,141,15,1082.29,764.82,937.56,1.61
23,112,6,873.27,303.13,822.73,1.41
82,130,2,544.39,306.22,487.56,1.55
63,69,19,591.59,270.53,518.78,1.75
43,111,4,562.79,196.77,536.19,1.34
33,111,15,318.43,146.38,237.05,2.81
21,132,6,478.75,238.35,418.06,1.71
128,30,4,1160.64,499.13,1071.1,1.48
109,26,19,327.5,113.67,309.43,1.4
68,65,2,328.06,259.84,258.57,1.93
69,55,2,1243.0,491.19,1156.25,1.46
75,85,20,92.74,59.65,79.88,1.75
103,86,19,323.0,119.51,299.89,1.48
119,132,18,504.57,278.8,440.19,1.67
78,55,20,602.75,119.48,591.84,1.21
49,24,1,730.91,271.64,678.42,1.49
50,25,13,563.35,240.34,519.86,1.48
9,167,19,507.83,87.11,500.02,1.2
43,84,1,758.8,190.01,735.33,1.29
128,38,5,314.0,152.73,286.74,1.5
47,44,1,586.5,189.28,558.55,1.36
125,68,5,230.67,119.55,203.69,1.63
45,64,1,429.0,151.19,403.2,1.42
46,54,1,550.31,150.37,533.27,1.27
44,74,1,412.69,180.3,383.56,1.43
30,25,5,209.7,120.17,181.62,1.71
